ctuid_s,ctuid_t,w,f
4210112.02,4210112.02,1.0,1
4210113.01,4210113.01,1.0,1
4210113.02,4210113.02,1.0,1
4210114.00,4210114.00,1.0,1
4210115.00,4210115.00,1.0,1
4210116.00,4210116.00,1.0,1
4210117.01,4210117.01,1.0,1
4210117.02,4210117.02,1.0,1
4210118.00,4210118.00,1.0,1
4210119.02,4210119.02,1.0,1
4210119.03,4210119.03,1.0,1
4210119.04,4210119.04,1.0,1
4210120.01,4210120.01,1.0,1
4210120.02,4210120.02,0.9753616425266782,4
4210120.02,4210600.06,0.02463835747332174,4
4210120.03,4210120.03,1.0,1
4210140.01,4210140.01,1.0,1
4210140.02,4210140.02,1.0,1
4210140.03,4210140.03,1.0,1
4210160.01,4210160.01,1.0,1
4210160.02,4210160.04,0.018602774957847325,3
4210160.02,4210160.05,0.9813972250421528,3
4210160.03,4210160.03,1.0,1
4210170.03,4210170.03,1.0,1
4210170.04,4210170.04,1.0,1
4210170.05,4210170.05,1.0,1
4210170.06,4210170.06,1.0,1
4210170.07,4210170.07,1.0,1
4210190.00,4210190.00,1.0,1
4210200.00,4210200.00,1.0,1
4210210.01,4210210.01,0.9994856890397035,4
4210210.01,4210210.02,0.000514310960296426,4
4210210.02,4210210.02,1.0,4
4210220.01,4210220.01,0.9879395708287074,4
4210220.01,4210370.00,0.012060429171292597,4
4210220.02,4210220.02,1.0,1
4210230.01,4210230.01,1.0,1
4210230.02,4210230.02,1.0,1
4210240.01,4210240.01,1.0,1
4210240.02,4210240.02,1.0,1
4210260.01,4210260.01,1.0,1
4210260.02,4210260.02,1.0,1
4210260.03,4210260.03,1.0,1
4210270.01,4210270.01,1.0,1
4210270.03,4210270.03,1.0,1
4210270.04,4210270.04,1.0,1
4210271.01,4210271.01,1.0,1
4210271.02,4210271.02,1.0,1
4210272.00,4210272.00,1.0,1
4210273.01,4210273.01,1.0,1
4210273.02,4210273.02,1.0,1
4210273.03,4210273.03,1.0,1
4210273.04,4210273.04,1.0,1
4210280.01,4210280.01,1.0,1
4210280.02,4210280.02,1.0,1
4210280.03,4210280.03,1.0,1
4210290.01,4210290.01,1.0,1
4210290.03,4210290.03,1.0,1
4210290.04,4210290.04,1.0,1
