ctuid,ct_pct
4620183.00,0439
4620184.00,0440
4620185.00,0441
4620186.00,0442
4620187.00,0443
4620188.01,3109
4620188.02,3110
4620189.00,0445
4620190.00,0446
4620191.00,0447
4620192.00,0448
4620193.00,0449
4620194.00,0450
4620195.01,3111
4620195.02,3112
4620196.00,0452
4620197.00,0453
4620198.00,0454
4620199.00,0455
4620200.00,0456
4620201.00,0457
4620202.00,0458
4620203.00,0459
4620204.00,0460
4620205.00,0461
4620206.00,0462
4620207.00,0463
4620208.00,0464
4620209.00,0465
4620210.00,0466
4620211.00,0467
4620212.00,0468
4620213.00,0469
4620214.00,0470
4620215.00,0471
4620216.00,0472
4620217.00,0473
4620218.00,0474
4620219.00,0475
4620220.00,0476
4620221.00,0477
4620222.00,0478
4620223.01,3113
4620223.02,3114
4620224.00,0480
4620225.00,0481
4620226.00,0482
4620227.00,0483
4620228.00,0484
4620229.00,0485
4620230.00,0486
4620231.00,0487
4620232.00,0488
4620233.00,0489
4620234.00,0490
4620235.00,0491
4620236.00,0492
4620237.00,0493
4620238.00,0494
4620239.00,0495
4620240.00,0496
4620241.00,0497
4620242.00,0498
4620243.00,0499
4620244.00,0500
4620245.00,0501
4620246.00,0502
4620247.00,0503
4620248.00,0504
4620249.00,0505
4620250.00,0506
4620251.01,3115
4620251.02,3116
4620252.00,0508
4620253.00,0509
4620254.00,0510
4620255.00,0511
4620256.00,0512
4620257.00,0513
4620258.00,0514
4620259.00,0515
4620260.00,0516
4620261.00,0517
4620262.00,0518
4620263.00,0519
4620264.00,0520
4620265.00,0521
4620266.00,0522
4620267.00,0523
4620268.00,0524
4620269.00,0525
4620270.00,0526
4620271.00,0527
4620272.00,0528
4620273.00,0529
4620274.00,0530
4620275.00,0531
4620276.00,0532
4620277.00,0533
4620278.00,0534
4620279.00,0535
4620280.00,0536
4620281.00,0537
4620282.00,0538
4620283.01,2856
4620283.02,2857
4620284.00,0540
4620285.00,0541
4620286.00,0542
4620287.00,0543
4620288.00,0544
4620290.01,3117
4620290.02,3118
4620291.00,0547
4620300.00,0548
4620301.00,0549
4620302.00,0550
4620303.00,0551
4620304.00,0552
4620305.00,0553
4620306.00,0554
4620307.00,0555
4620308.00,0556
4620309.00,0557
4620310.00,0558
4620311.00,0559
4620312.00,0560
4620313.00,0561
4620314.00,0562
4620315.00,0563
4620316.00,0564
4620317.00,0565
4620320.00,0566
4620321.00,0567
4620322.01,2858
4620322.02,2859
4620323.00,0569
4620324.01,3119
4620324.02,3120
4620325.01,2860
4620325.02,2861
4620325.03,2862
4620325.04,3121
4620326.01,2863
4620326.02,2864
4620327.00,0573
4620328.00,2865
4620329.00,0575
4620330.00,0576
4620340.00,0577
4620350.00,0578
4620351.00,0579
4620352.00,0580
4620353.00,0581
4620354.00,0582
4620355.00,0583
4620356.00,0584
4620360.00,0585
4620361.00,0586
4620362.00,0587
4620363.00,0588
4620364.00,0589
4620365.00,0590
4620366.00,0591
4620367.00,0592
4620370.00,0593
4620380.00,0594
4620381.00,0595
4620382.01,3122
4620382.02,3123
4620383.00,0597
4620385.00,0599
4620390.00,0600
4620391.00,0601
4620392.00,0602
4620393.00,0603
4620394.00,0604
4620395.01,2866
4620395.02,2867
4620395.03,2868
4620396.00,0606
4620397.00,0607
4620400.00,0608
4620401.00,0609
4620402.00,0610
4620403.00,0611
4620404.00,0612
4620410.00,0613
4620411.00,0614
4620412.00,0615
4620413.00,0616
4620414.00,0617
4620415.00,0618
4620416.00,0619
4620417.00,0620
4620418.00,0621
4620419.00,0622
4620420.00,0623
4620421.00,0624
4620430.00,0625
4620431.00,0626
4620432.00,0627
4620433.00,0628
4620440.00,0629
4620450.00,0630
4620451.00,0631
4620452.00,0632
4620453.00,0633
4620460.00,0634
4620461.00,0635
4620462.01,3124
4620462.02,3125
4620470.01,3126
4620470.02,3127
4620480.00,0638
4620490.00,0639
4620491.00,0640
4620500.00,0641
4620510.00,0642
4620511.00,0643
4620512.01,3128
4620512.02,3129
4620513.00,0645
4620514.01,3130
4620514.02,3131
4620515.00,0647
4620520.01,2869
4620520.02,2870
4620521.01,3132
4620521.02,3133
4620522.00,0650
4620523.00,0651
4620530.00,0652
4620540.00,0653
4620550.00,0654
4620560.00,0655
4620570.00,0656
4620580.00,0657
4620581.00,0658
4620582.01,3134
4620582.02,3135
4620583.00,0660
4620584.00,0661
4620585.00,0662
4620590.01,2871
4620590.02,2872
