source_ctuid,target_ctuid,w_area
5050401.00,5050152.00,0.50224465
5050402.00,5050080.00,0.13881841
5050402.00,5050081.00,0.12158149
5050402.00,5050082.00,0.15975903
5050402.00,5050083.00,0.13541873
5050402.00,5050084.00,0.10886327
5050402.00,5050085.00,0.10705193
5050402.00,5050153.00,0.22850713
5050403.00,5050079.00,1.0
5050404.00,5050120.00,1.0
5050405.00,5050125.00,1.0
5050406.00,5050127.00,1.0
5050407.00,5050120.00,0.39276555
5050407.00,5050151.00,0.60723445
5050408.00,5050131.00,1.0
5050409.00,5050130.00,1.0
5050410.00,5050107.00,0.13214966
5050410.00,5050108.00,0.18571481
5050410.00,5050135.00,0.43799992
5050410.00,5050150.00,0.24413561
5350001.00,5350001.00,1.0
5350002.00,5350002.00,1.0
5350003.00,5350003.00,1.0
5350004.00,5350004.00,1.0
5350005.00,5350005.00,1.0
5350006.00,5350006.00,1.0
5350007.00,5350007.00,1.0
5350008.00,5350008.00,1.0
5350009.00,5350009.00,1.0
5350010.00,5350010.00,1.0
5350011.00,5350011.00,1.0
5350012.00,5350012.00,1.0
5350013.00,5350013.00,1.0
5350014.00,5350014.00,1.0
5350015.00,5350015.00,1.0
5350016.00,5350016.00,1.0
5350017.00,5350017.00,1.0
5350018.00,5350018.00,1.0
5350019.00,5350019.00,1.0
5350020.00,5350020.00,1.0
5350021.00,5350021.00,1.0
5350022.00,5350022.00,1.0
5350023.00,5350023.00,1.0
5350024.00,5350024.00,1.0
5350025.00,5350025.00,1.0
5350026.00,5350026.00,1.0
5350027.00,5350027.00,1.0
5350028.00,5350028.00,1.0
5350029.00,5350029.00,1.0
5350030.00,5350030.00,1.0
5350031.00,5350031.00,1.0
5350032.00,5350032.00,1.0
5350033.00,5350033.00,1.0
5350034.00,5350034.00,1.0
5350035.00,5350035.00,1.0
5350036.00,5350036.00,1.0
5350037.00,5350037.00,1.0
5350038.00,5350038.00,1.0
5350039.00,5350039.00,1.0
5350040.00,5350040.00,1.0
5350041.00,5350041.00,1.0
5350042.00,5350042.00,1.0
5350043.00,5350043.00,1.0
5350044.00,5350044.00,1.0
5350045.00,5350045.00,1.0
5350046.00,5350046.00,1.0
5350047.00,5350047.00,1.0
5350048.00,5350048.00,1.0
5350049.00,5350049.00,1.0
5350050.00,5350050.00,1.0
5350051.00,5350051.00,1.0
5350052.00,5350052.00,1.0
5350053.00,5350053.00,1.0
5350054.00,5350054.00,1.0
5350055.00,5350055.00,1.0
5350056.00,5350056.00,1.0
5350057.00,5350057.00,1.0
5350058.00,5350058.00,1.0
5350059.00,5350059.00,1.0
5350060.00,5350060.00,1.0
5350061.00,5350061.00,1.0
5350062.00,5350062.00,1.0
5350063.00,5350063.00,1.0
5350064.00,5350064.00,1.0
5350065.00,5350065.00,1.0
5350066.00,5350066.00,1.0
5350067.00,5350067.00,1.0
5350068.00,5350068.00,1.0
5350069.00,5350069.00,1.0
5350070.00,5350070.00,1.0
5350071.00,5350071.00,1.0
5350072.00,5350072.00,1.0
5350073.00,5350073.00,1.0
5350074.00,5350074.00,1.0
5350075.00,5350075.00,1.0
5350076.00,5350076.00,1.0
5350077.00,5350077.00,1.0
5350078.00,5350078.00,1.0
5350079.00,5350079.00,1.0
5350080.00,5350080.00,1.0
5350081.00,5350081.00,1.0
5350082.00,5350082.00,1.0
5350083.00,5350083.00,1.0
5350084.00,5350084.00,1.0
5350085.00,5350085.00,1.0
5350086.00,5350086.00,1.0
5350087.00,5350087.00,1.0
5350088.00,5350088.00,1.0
5350089.00,5350089.00,1.0
5350090.00,5350090.00,1.0
5350091.00,5350091.00,1.0
5350092.00,5350092.00,1.0
5350093.00,5350093.00,1.0
5350094.00,5350094.00,1.0
5350095.00,5350095.00,1.0
5350096.00,5350096.00,1.0
5350097.00,5350097.00,1.0
5350098.00,5350098.00,1.0
5350099.00,5350099.00,1.0
5350100.00,5350100.00,1.0
5350101.00,5350101.00,1.0
5350102.00,5350102.00,1.0
5350103.00,5350103.00,1.0
5350104.00,5350104.00,1.0
5350105.00,5350105.00,1.0
5350106.00,5350106.00,1.0
5350107.00,5350107.00,1.0
5350108.00,5350108.00,1.0
5350109.00,5350109.00,1.0
5350110.00,5350110.00,1.0
5350111.00,5350111.00,1.0
5350112.00,5350112.00,1.0
5350113.00,5350113.00,1.0
5350114.00,5350114.00,1.0
5350115.00,5350115.00,1.0
5350116.00,5350116.00,1.0
5350117.00,5350117.00,1.0
5350118.00,5350118.00,1.0
5350119.00,5350119.00,1.0
5350120.00,5350120.00,1.0
5350121.00,5350121.00,1.0
5350122.00,5350122.00,1.0
5350123.00,5350123.00,1.0
5350124.00,5350124.00,1.0
5350125.00,5350125.00,1.0
5350126.00,5350126.00,1.0
5350127.00,5350127.00,1.0
5350128.00,5350128.00,1.0
5350129.00,5350129.00,1.0
5350130.00,5350130.00,1.0
5350131.00,5350131.00,1.0
5350132.00,5350132.00,1.0
5350133.00,5350133.00,1.0
5350134.00,5350134.00,1.0
5350135.00,5350135.00,1.0
5350136.00,5350136.00,1.0
5350137.00,5350137.00,1.0
5350138.00,5350138.00,1.0
5350139.00,5350139.00,1.0
5350140.00,5350140.00,1.0
5350141.00,5350141.00,1.0
5350142.00,5350142.00,1.0
5350143.00,5350143.00,1.0
5350144.00,5350144.00,1.0
5350145.00,5350145.00,1.0
5350146.00,5350146.00,1.0
5350147.00,5350147.00,1.0
5350148.00,5350148.00,0.99999906
5350148.00,5350400.00,9.4e-07
5350149.00,5350149.00,1.0
5350150.00,5350150.00,1.0
5350151.00,5350151.00,1.0
5350152.00,5350152.00,1.0
5350153.00,5350153.00,1.0
5350154.00,5350154.00,0.99999971
5350154.00,5350551.00,2.9e-07
5350155.00,5350155.00,0.57886629
5350155.00,5350276.00,0.42113371
5350156.00,5350156.00,1.0
5350157.00,5350157.00,0.7010539
5350157.00,5350280.00,0.29891986
5350157.00,5350552.00,2.624e-05
5350158.00,5350158.00,0.48149597
5350158.00,5350279.00,0.13533333
5350158.00,5350280.00,0.27773365
5350158.00,5350281.00,0.10543698
5350158.00,5350552.00,6e-08
5350159.00,5350159.00,0.80442971
5350159.00,5350160.00,0.19557029
5350160.00,5350158.00,0.07665718
5350160.00,5350160.00,0.92334282
5350161.00,5350160.00,0.322681
5350161.00,5350161.00,0.677319
5350162.00,5350162.00,0.34809464
5350162.00,5350283.00,0.65190536
5350163.00,5350163.00,0.67063063
5350163.00,5350282.00,0.32936937
5350164.00,5350164.00,0.22092359
5350164.00,5350285.00,0.30181823
5350164.00,5350286.00,0.47725819
5350165.00,5350165.00,0.19992973
5350165.00,5350284.00,0.80007027
5350166.00,5350166.00,0.60380086
5350166.00,5350288.00,0.39619914
5350167.00,5350167.00,0.69605225
5350167.00,5350287.00,0.30394775
5350168.00,5350168.00,0.47851916
5350168.00,5350278.00,0.52148084
5350169.00,5350169.00,1.0
5350170.00,5350170.00,0.6074428
5350170.00,5350277.00,0.3925572
5350171.00,5350171.00,1.0
5350172.00,5350172.00,0.89120294
5350172.00,5350175.00,0.10879706
5350173.00,5350173.00,1.0
5350174.00,5350174.00,0.28045287
5350174.00,5350289.00,0.71954713
5350175.00,5350175.00,1.0
5350176.00,5350176.00,1.0
5350177.00,5350177.00,1.0
5350178.00,5350178.00,1.0
5350179.00,5350179.00,1.0
5350180.00,5350180.00,1.0
5350181.00,5350181.00,1.0
5350182.00,5350182.00,1.0
5350183.00,5350183.00,1.0
5350184.00,5350184.00,1.0
5350185.00,5350185.00,1.0
5350186.00,5350186.00,1.0
5350187.00,5350187.00,1.0
5350188.00,5350188.00,1.0
5350189.00,5350189.00,0.76097079
5350189.00,5350190.00,0.06338603
5350189.00,5350290.00,0.17564318
5350190.00,5350190.00,1.0
5350191.00,5350191.00,0.42820916
5350191.00,5350290.00,0.57179084
5350192.00,5350192.00,0.75556093
