source_ctuid,target_ctuid,w_area
4620331.00,4620331.00,1.0000000000
4620332.00,4620332.00,1.0000000000
4620333.00,4620333.00,1.0000000000
4620334.00,4620334.00,1.0000000000
4620335.00,4620335.00,1.0000000000
4620336.00,4620336.00,1.0000000000
4620337.00,4620337.00,1.0000000000
4620338.00,4620338.00,1.0000000000
4620339.00,4620339.00,1.0000000000
4620340.00,4620244.00,1.0000000000
4620341.00,4620341.00,0.8493351301
4620341.00,4620346.00,0.1506648699
4620342.00,4620342.00,0.8255021658
4620342.00,4620346.00,0.1744978342
4620343.00,4620343.00,0.8092016684
4620343.00,4620346.00,0.1907983316
4620344.00,4620344.00,0.8516848349
4620344.00,4620346.00,0.1483116800
4620344.00,4620349.00,0.0000034852
4620345.00,4620345.00,0.4842976738
4620345.00,4620347.00,0.4452168782
4620345.00,4620348.00,0.0297714519
4620345.00,4620349.00,0.0407139960
4620350.00,4620350.00,0.3829281312
4620350.00,4620353.00,0.3897705551
4620350.00,4620357.00,0.2273013138
4620351.00,4620348.00,0.0000007443
4620351.00,4620351.00,0.9999992557
4620352.00,4620352.00,1.0000000000
4620354.00,4620348.00,0.0000039872
4620354.00,4620349.00,0.0000054108
4620354.00,4620354.00,0.7100844082
4620354.00,4620355.00,0.2899061937
4620356.00,4620356.00,1.0000000000
4620358.00,4620243.00,1.0000000000
4620360.00,4620360.00,1.0000000000
4620362.00,4620362.00,0.7388189258
4620362.00,4620363.00,0.2611810742
4620364.00,4620006.00,0.1757216849
4620364.00,4620364.00,0.8242783151
4620365.00,4620365.00,1.0000000000
4620366.00,4620366.00,1.0000000000
4620367.00,4620367.00,1.0000000000
4620368.00,4620368.00,1.0000000000
4620370.00,4620370.00,1.0000000000
4620371.00,4620371.00,1.0000000000
4620372.00,4620372.00,1.0000000000
4620373.00,4620373.00,1.0000000000
4620374.00,4620374.00,0.9999998338
4620374.00,4620377.00,0.0000001662
4620375.00,4620375.00,0.9999997307
4620375.00,4620377.00,0.0000002693
4620376.00,4620376.00,1.0000000000
4620380.00,4620380.00,1.0000000000
4620381.00,4620381.00,1.0000000000
4620382.00,4620377.00,0.0000004411
4620382.00,4620378.00,0.0000004411
4620382.00,4620382.00,0.9999991178
4620383.00,4620383.00,1.0000000000
4620384.00,4620384.00,1.0000000000
4620385.00,4620385.00,1.0000000000
4620386.00,4620386.00,1.0000000000
4620387.00,4620387.00,0.3455946858
4620387.00,4620388.00,0.2878554822
4620387.00,4620389.00,0.3665498319
4620389.00,4620390.00,0.5643930194
4620389.00,4620391.00,0.3357397378
4620389.00,4620392.00,0.0998672428
4620391.00,4620394.00,0.6759994311
4620391.00,4620395.00,0.0527113711
4620391.00,4620396.00,0.2712891978
4620392.00,4620394.00,0.0800010315
4620392.00,4620395.00,0.4339732048
4620392.00,4620396.00,0.4860257637
4620393.00,4620396.00,0.0820290382
4620393.00,4620397.00,0.9179705835
4620393.00,4620409.00,0.0000001891
4620393.00,4620410.00,0.0000001892
4620403.00,4620403.00,1.0000000000
4620404.00,4620404.00,0.9999992944
